2025-04-28,94
2025-04-29,109
2025-04-30,104
2025-05-01,140
2025-05-02,138
2025-05-03,138
2025-05-04,152
2025-05-05,137
2025-05-06,147
2025-05-07,137
2025-05-08,146
2025-05-09,141
2025-05-10,140
2025-05-11,136
2025-05-12,127
2025-05-13,135
2025-05-14,127
2025-05-15,138
2025-05-16,138
2025-05-17,137
2025-05-18,122
2025-05-19,122
2025-05-20,121
2025-05-21,117
2025-05-22,110
2025-05-23,108
2025-05-24,106
2025-05-25,101
2025-05-26,112
2025-05-27,117
2025-05-28,115
2025-05-29,141
2025-05-30,139
2025-05-31,139
2025-06-01,135
2025-06-02,123
2025-06-03,130
2025-06-04,121
2025-06-05,96
2025-06-06,97
2025-06-07,98
2025-06-08,91
2025-06-09,97
2025-06-10,102
2025-06-11,101
2025-06-12,92
2025-06-13,87
2025-06-14,88
2025-06-15,86
2025-06-16,89
2025-06-17,90
2025-06-18,89
2025-06-19,132
2025-06-20,131
2025-06-21,130
2025-06-22,123
2025-06-23,124
2025-06-24,137
2025-06-25,129
2025-06-26,98
2025-06-27,96
2025-06-28,93
2025-06-29,76
2025-06-30,70
2025-07-01,88
2025-07-02,85
2025-07-03,106
2025-07-04,110
2025-07-05,110
2025-07-06,117
2025-07-07,111
2025-07-08,126
2025-07-09,116
2025-07-10,141
2025-07-11,134
2025-07-12,133
2025-07-13,124
2025-07-14,131
2025-07-15,147
2025-07-16,147
2025-07-17,126
2025-07-18,123
2025-07-19,122
2025-07-20,134
2025-07-21,130
2025-07-22,137
2025-07-23,136
2025-07-24,131
2025-07-25,130
2025-07-26,124
2025-07-27,124
2025-07-28,116
2025-07-29,141
2025-07-30,136
2025-07-31,166
2025-08-01,163
2025-08-02,165
2025-08-03,154
2025-08-04,150
2025-08-05,150
2025-08-06,143
2025-08-07,119
2025-08-08,113
2025-08-09,109
2025-08-10,109
2025-08-11,106
2025-08-12,133
2025-08-13,124
2025-08-14,157
2025-08-15,155
2025-08-16,152
2025-08-17,157
2025-08-18,144
2025-08-19,149
2025-08-20,145
2025-08-21,125
2025-08-22,122
2025-08-23,118
2025-08-24,126
2025-08-25,115
2025-08-26,127
2025-08-27,122
2025-08-28,171
2025-08-29,169
2025-08-30,168
2025-08-31,158
2025-09-01,153
2025-09-02,149
2025-09-03,151
2025-09-04,133
2025-09-05,128
2025-09-06,126
2025-09-07,132
2025-09-08,117
2025-09-09,148
2025-09-10,139
2025-09-11,139
2025-09-12,137
2025-09-13,137
2025-09-14,129
2025-09-15,119
2025-09-16,131
2025-09-17,130
2025-09-18,121
2025-09-19,122
2025-09-20,119
2025-09-21,120
2025-09-22,109
2025-09-23,124
2025-09-24,118
2025-09-25,138
2025-09-26,135
2025-09-27,133
2025-09-28,131
2025-09-29,125
2025-09-30,142
2025-10-01,142
2025-10-02,151
2025-10-03,153
2025-10-04,150
2025-10-05,143
2025-10-06,128
2025-10-07,161
2025-10-08,154
2025-10-09,161
2025-10-10,159
2025-10-11,153
2025-10-12,132
2025-10-13,134
2025-10-14,152
2025-10-15,154
2025-10-21,174
2025-10-22,159
2025-10-23,155
2025-10-24,154
2025-10-25,160
2025-10-26,126
2025-10-27,138
2025-10-28,180
2025-10-29,161
2025-10-30,168
2025-10-31,169
2025-11-01,166
2025-11-02,149
2025-11-03,153
2025-11-04,194
2025-11-05,182
2025-11-06,147
2025-11-07,141
2025-11-08,147
2025-11-09,140
2025-11-10,133
2025-11-11,156
2025-11-12,141
2025-11-13,180
2025-11-14,180
2025-11-15,175
2025-11-16,153
2025-11-17,155
2025-11-18,205
2025-11-19,176
2025-11-20,172
2025-11-21,167
2025-11-22,162
2025-11-23,146
2025-11-24,145
2025-11-25,188
2025-11-26,161
2025-11-27,132
2025-11-28,132
2025-11-29,133
2025-11-30,137
2025-12-01,118
2025-12-02,141
2025-12-03,121
2025-12-04,159
2025-12-05,158
2025-12-06,163
2025-12-07,155
2025-12-08,158
2025-12-09,198
2025-12-10,177
2025-12-11,186
2025-12-12,181
2025-12-13,178
2025-12-14,171
2025-12-15,165
2025-12-16,206
2025-12-17,180
2025-12-18,137
2025-12-19,134
2025-12-20,130
2025-12-21,153
2025-12-22,134
2025-12-23,161
2025-12-24,139
2025-12-25,139
2025-12-26,136
2025-12-27,139
2025-12-28,144
2025-12-29,132
2025-12-30,166
2025-12-31,163
2026-01-01,162
2026-01-02,165
2026-01-03,169
2026-01-04,177
2026-01-05,164
2026-01-06,218
2026-01-07,189
2026-01-08,189
2026-01-09,183
2026-01-10,179
2026-01-11,153
2026-01-12,161
2026-01-13,178
2026-01-14,159
2026-01-15,173
2026-01-16,171
2026-01-17,171
2026-01-18,140
2026-01-19,141
2026-01-20,161
